State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Other,FAQ,24/09/2025,1200,1700,1600
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,24/09/2025,700,1200,1000
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,24/09/2025,2000,4000,3000
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,24/09/2025,7500,10000,8500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(White),Large,24/09/2025,2500,3500,3300
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,24/09/2025,2200,2400,2300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,24/09/2025,700,1500,1100
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,24/09/2025,1000,2000,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,24/09/2025,1200,2800,2000
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,24/09/2025,3250,4050,3800
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,24/09/2025,1200,1800,1550
Gujarat,Anand,"Khambhat(Grain Market)","Bajra(Pearl Millet/Cumbu)",Other,FAQ,24/09/2025,2250,2750,2400
Gujarat,Bharuch,Bharuch,Papaya,Other,Medium,24/09/2025,800,1200,1000
Gujarat,Bharuch,Bharuch,Pomegranate,Other,Medium,24/09/2025,2000,4500,3000
Gujarat,"Chhota Udaipur",Kalediya,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,24/09/2025,6900,7050,6950
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Guar,Other,FAQ,24/09/2025,3500,5000,4000
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,24/09/2025,6075,9380,7730
Gujarat,Mehsana,Kadi,"Castor Seed",Caster,FAQ,24/09/2025,6265,6355,6325
Gujarat,Mehsana,Kadi,"Guar Seed(Cluster Beans Seed)",Whole,FAQ,24/09/2025,4115,4490,4400
Gujarat,Mehsana,Kadi,Wheat,Deshi,FAQ,24/09/2025,2550,2725,2675
Gujarat,Navsari,Bilimora,Brinjal,Other,FAQ,24/09/2025,3000,4000,3500
Gujarat,Navsari,Bilimora,Tomato,Other,FAQ,24/09/2025,1000,2500,1800
Gujarat,Panchmahals,Gogamba,Maize,"Deshi White",FAQ,24/09/2025,2300,2400,2350
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,24/09/2025,1500,2000,1750
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,FAQ,24/09/2025,5000,7000,6000
Gujarat,Porbandar,Porbandar,"Green Chilli","Green Chilly",FAQ,24/09/2025,2000,3000,2500
Gujarat,Porbandar,Porbandar,"Green Gram (Moong)(Whole)","Green (Whole)",Non-FAQ,24/09/2025,5725,7100,6410
Gujarat,Porbandar,Porbandar,"Ground Nut Seed","Ground Nut Seed",FAQ,24/09/2025,5250,5625,5435
Gujarat,Porbandar,Porbandar,Guava,Guava,Large,24/09/2025,3500,4500,4000
Gujarat,Porbandar,Porbandar,Onion,Other,FAQ,24/09/2025,750,1250,1000
Gujarat,Porbandar,Porbandar,Potato,"(Red Nanital)",FAQ,24/09/2025,1000,1500,1250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Tomato,Tomato,FAQ,24/09/2025,1000,3500,2250
Gujarat,Sabarkantha,Modasa,"Bajra(Pearl Millet/Cumbu)",Hybrid,Non-FAQ,24/09/2025,2000,2280,2280
